id,Name,Continent,Country,web,rank_points,latitude,longitude,Wave_data
1,"Barracuda point",Asia,Malaysia,https://www.sipadan.com/Sipadan/Barracuda-Point.php,100,4.12275,118.631,Yes
2,"Blue Corner Wall",Oceania,Micronesia,https://www.dive-the-world.com/diving-sites-palau-blue-corner.php,99,7.13361,134.22,Yes
3,Yongala,Oceania,Australia,https://www.yongaladive.com.au/,99,-19.3792,147.675,Yes
4,Thistlegorm,Africa,Egypt,https://www.zubludiving.com/articles/zublu-insights/diving-egypts-thistlegorm-wreck,99,27.8137,33.9208,Yes
5,"Shark and Yolanda Reef",Africa,Egypt,https://prodivetravel.co.za/news/why-you-should-dive-shark-and-yolanda-reef/,98,27.7252,34.2589,Yes
6,"Manta Ray night dive",Oceania,USA,https://www.mantaraydiveshawaii.com/,98,19.6691,-156.04,Yes
7,"Great Blue hole",America,Belize,https://blog.padi.com/blue-hole-belize-scuba-diving/,98,17.3161,-87.5348,Yes
8,"Liberty, Bali",Asia,Indonesia,https://letsdivetulamben.com/,98,-8.2784,115.611,Yes
9,"Navy Pier",Oceania,Australia,https://www.diveningaloo.com.au/book-exmouth-navy-pier-single-dive/,98,-21.8699,114.216,Yes
10,"Richelieu Rock",Asia,Thailand,https://www.sunrise-divers.com/dive-sites/richelieu-rock/,98,9.36428,98.0229,Yes
11,"Elphinstone Reef",Africa,Egypt,https://www.dive-the-world.com/diving-sites-egypt-elphinstone.php,97,25.3,34.8332,Yes
12,Tubbataha,Asia,Philippines,https://www.bluewaterdivetravel.com/tubbataha-reef-diving,97,8.85179,119.934,Yes
13,"President Coolidge",Oceania,Vanuatu,https://allwaysdive.com.au/diving-destinations/vanuatu/espiritu-santo/ss-president-coolidge/,97,-15.5291,167.226,Yes
14,"Big Brother",Africa,Egypt,https://diveintolife.blog/brother-islands-egypt-red-sea/,97,26.3118,34.8435,Yes
15,"Tiputa Pass",Oceania,Polynesia,https://www.spotmydive.com/en/travel/the-pass-of-tiputa-one-of-the-best-diving-destinations-in-the-world,97,-14.9729,-147.629,Yes
16,"Ras Mohammed",Africa,Egypt,https://www.padi.com/diving-in/ras-mohamed/,97,27.726,34.2593,Yes
17,"Great white wall",Oceania,Fijii,https://www.diveplanit.com/dive-site/great-white-wall/,97,-16.7754,179.899,Yes
18,"Gordon`s Rock",America,Ecuador,https://www.scubaiguana.com/diving/dive-sites/gordon-rocks/,97,-0.566352,-90.1416,Yes
19,"Osprey reef",Oceania,Australia,https://www.dive-the-world.com/diving-sites-australia-great-barrier-reef-osprey-reef.php,97,-13.9133,146.636,Yes
20,"Bloody bay wall",America,"Cayman Islands (UK)",https://www.visitcaymanislands.com/en-ca/about-cayman/cayman-stories/november-2022/amazing-vertical-drop-off-caribbean,96,19.6597,-80.0731,Yes
21,"Aliwal Shoal",Africa,"South Africa",https://www.aliwalshoaladventures.com/,96,-30.2496,30.8167,Yes
